"","date","group","amount","salary_change"
"110",2018-10-31,"Consultant",7726.18,6.31636017371298
"111",2018-11-30,"Consultant",7723.62,6.28113320747032
"112",2018-12-31,"Consultant",7718.1,6.20517506150959
"113",2019-01-31,"Consultant",7722.41,6.26448296170719
"114",2019-02-28,"Consultant",7724.95,6.29943471727607
"115",2019-03-31,"Consultant",7721.57,6.25292411340881
"116",2019-04-30,"Consultant",7733.25,6.41364714689095
"117",2019-05-31,"Consultant",7746.13,6.59088282079933
"118",2019-06-30,"Consultant",7747.16,6.60505617049852
"119",2019-07-31,"Consultant",7736.51,6.45850648671559
"120",2019-08-31,"Consultant",7735.67,6.44694763841721
"121",2019-09-30,"Consultant",8855.32,21.8539291827894
"122",2019-10-31,"Consultant",7959.62,9.52861915796542
"123",2019-11-30,"Consultant",7936.7,9.21322772582412
"124",2019-12-31,"Consultant",7935.81,9.20098085084133
"125",2020-01-31,"Consultant",7934.91,9.18859637052164
"126",2020-02-29,"Consultant",7941.84,9.28395686898321
"127",2020-03-31,"Consultant",7942.3,9.29028671447994
"128",2020-04-30,"Consultant",7924.2,9.04122105471739
"129",2020-05-31,"Consultant",7960.23,9.53701308351543
"130",2020-06-30,"Consultant",7962.99,9.5749921564958
"131",2020-07-31,"Consultant",7952.02,9.42403910193254
"132",2020-08-31,"Consultant",7946.63,9.34986982535131
"133",2020-09-30,"Consultant",9222.73,26.9096868652954
"134",2020-10-31,"Consultant",8189.07,12.6859736128006
"135",2020-11-30,"Consultant",8172.95,12.4641538097414
"136",2020-12-31,"Consultant",8161.2,12.302467538901
"137",2021-01-31,"Consultant",8165.25,12.3581977003396
"138",2021-02-28,"Consultant",8172.22,12.4541086201487
"139",2021-03-31,"Consultant",8180.32,12.5655689430259
"140",2021-04-30,"Consultant",8183.5,12.6093274401554
"141",2021-05-31,"Consultant",8183.63,12.611116309535
"142",2021-06-30,"Consultant",8171.78,12.4480539853258
"143",2021-07-31,"Consultant",8181.74,12.5851089008636
"144",2021-08-31,"Consultant",8167.66,12.391360586529
"145",2021-09-30,"Consultant",9601.63,32.1235530798826
"146",2021-10-31,"Consultant",8429.07,15.9885016980499
"147",2021-11-30,"Consultant",8427.65,15.9689617402121
"148",2021-12-31,"Consultant",8432.91,16.0413421474138
"149",2009-09-30,"Specialty Registrar",3164.32,0
"150",2009-10-31,"Specialty Registrar",3137.25,-0.855476058047232
"151",2009-11-30,"Specialty Registrar",3170.92,0.208575618142284
"152",2009-12-31,"Specialty Registrar",3153.56,-0.340041462304704
"153",2010-01-31,"Specialty Registrar",3163.06,-0.0398189816453525
"154",2010-02-28,"Specialty Registrar",3149.72,-0.461394549223857
"155",2010-03-31,"Specialty Registrar",3182.87,0.586223896445357
"156",2010-04-30,"Specialty Registrar",3153.77,-0.333404965363812
"157",2010-05-31,"Specialty Registrar",3241.27,2.43180209334074
