"","date","group","amount","salary_change","cpih","cpih_change","diff","cumulative_income_lost","cpih_matched_salary"
"140",2021-04-30,"Consultant",8183.5,12.6093274401554,22.1,0.700000000000003,-9.49067255984457,43892.6404230717,9058.49710944894
"141",2021-05-31,"Consultant",8183.63,12.611116309535,22.7,0.599999999999994,-10.088883690465,44264.193312183,9112.84809210564
"142",2021-06-30,"Consultant",8171.78,12.4480539853258,23.1,0.400000000000006,-10.6519460146742,44656.4826315801,9149.29948447406
"143",2021-07-31,"Consultant",8181.74,12.5851089008636,23.1,0,-10.5148910991364,45043.7244996043,9149.29948447406
"144",2021-08-31,"Consultant",8167.66,12.391360586529,23.8,0.699999999999989,-11.408639413471,45463.8812845329,9213.34458086538
"145",2021-09-30,"Consultant",9601.63,32.1235530798826,24.1,0.300000000000011,8.02355307988263,45168.3902848115,9240.98461460797
"146",2021-10-31,"Consultant",8429.07,15.9885016980499,25.1,1,-9.11149830195015,45503.9480751567,9333.39446075405
"147",2021-11-30,"Consultant",8427.65,15.9689617402121,25.8,0.699999999999989,-9.83103825978787,45866.0050460226,9398.72822197933
"148",2021-12-31,"Consultant",8432.91,16.0413421474138,26.382,0.582000000000008,-10.3406578525862,46246.8302610135,9453.42882023125
"149",2009-09-30,"Specialty Registrar",3164.32,0,0,0,0,0,3164.32
"150",2009-10-31,"Specialty Registrar",3137.25,-0.855476058047232,0.100000000000009,0.100000000000009,-0.95547605804724,35.1882230716586,3167.48432
"151",2009-11-30,"Specialty Registrar",3170.92,0.208575618142284,0.299999999999997,0.199999999999989,-0.0914243818577135,38.5551954995943,3173.81928864
"152",2009-12-31,"Specialty Registrar",3153.56,-0.340041462304704,0.600000000000009,0.300000000000011,-0.940041462304713,73.1749940739202,3183.34074650592
"153",2010-01-31,"Specialty Registrar",3163.06,-0.0398189816453525,0.5,-0.100000000000009,-0.539818981645352,93.0554197365725,3180.15740575941
"154",2010-02-28,"Specialty Registrar",3149.72,-0.461394549223857,0.700000000000003,0.200000000000003,-1.16139454922386,135.827198399264,3186.51772057093
"155",2010-03-31,"Specialty Registrar",3182.87,0.586223896445357,1.10000000000001,0.400000000000006,-0.513776103554651,154.748518288448,3199.26379145322
"156",2010-04-30,"Specialty Registrar",3153.77,-0.333404965363812,1.60000000000001,0.5,-1.93340496536382,225.951856808639,3215.26011041048
"157",2010-05-31,"Specialty Registrar",3241.27,2.43180209334074,1.8,0.199999999999989,0.631802093340746,202.683881844356,3221.6906306313
"158",2010-06-30,"Specialty Registrar",3216.83,1.65944025888658,1.90000000000001,0.100000000000009,-0.240559741113428,211.543203604505,3224.91232126194
"159",2010-07-31,"Specialty Registrar",3206.44,1.33109167214441,1.7,-0.200000000000003,-0.368908327855596,225.129340508977,3218.46249661941
"160",2010-08-31,"Specialty Registrar",3104.32,-1.8961419831117,2.10000000000001,0.400000000000006,-3.9961419831117,372.299051715705,3231.33634660589
"161",2010-09-30,"Specialty Registrar",3215.83,1.62783789250138,2.10000000000001,0,-0.472162107498626,389.687813500696,3231.33634660589
"162",2010-10-31,"Specialty Registrar",3193.6,0.925317287758499,2.3,0.199999999999989,-1.3746827122415,440.314557649543,3237.7990192991
"163",2010-11-30,"Specialty Registrar",3230.98,2.10661374323709,2.60000000000001,0.300000000000011,-0.493386256762919,458.484961310883,3247.512416357
"164",2010-12-31,"Specialty Registrar",3217.36,1.67618951307074,3.40000000000001,0.799999999999997,-1.72381048692927,521.969365170569,3273.49251568785
"165",2011-01-31,"Specialty Registrar",3219.24,1.73560196187489,3.5,0.0999999999999943,-1.76439803812511,586.948525275985,3276.76600820354
"166",2011-02-28,"Specialty Registrar",3204.81,1.27957981493654,4,0.5,-2.72042018506346,687.136019786625,3293.14983824456
"167",2011-03-31,"Specialty Registrar",3225.91,1.94638974566415,4.3,0.299999999999997,-2.35361025433585,773.814657054183,3303.02928775929
"168",2011-04-30,"Specialty Registrar",3207.65,1.36933053547049,5,0.700000000000003,-3.63066946452951,907.524765163461,3326.15049277361
"169",2011-05-31,"Specialty Registrar",3230.94,2.10534964858168,5.2,0.200000000000003,-3.09465035141832,1021.49438897282,3332.80279375916
"170",2011-06-30,"Specialty Registrar",3227.69,2.0026419578298,5.2,0,-3.1973580421702,1139.24652632913,3332.80279375916
"171",2011-07-31,"Specialty Registrar",3226.53,1.96598321282298,5.2,0,-3.23401678717703,1258.34873005913,3332.80279375916
"172",2011-08-31,"Specialty Registrar",3145.24,-0.602973150629531,5.60000000000001,0.400000000000006,-6.20297315062954,1486.79150588122,3346.13400493419
