"","date","cpih","cpih_change"
"135",2020-11-01,120.8,-0.100000000000009
"136",2020-12-01,121.1,0.300000000000011
"137",2021-01-01,121,-0.100000000000009
"138",2021-02-01,121.1,0.100000000000009
"139",2021-03-01,121.4,0.299999999999997
"140",2021-04-01,122.1,0.700000000000003
"141",2021-05-01,122.7,0.599999999999994
"142",2021-06-01,123.1,0.400000000000006
"143",2021-07-01,123.1,0
"144",2021-08-01,123.8,0.699999999999989
"145",2021-09-01,124.1,0.300000000000011
"146",2021-10-01,125.1,1
"147",2021-11-01,125.8,0.699999999999989
"148",2021-12-01,126.382,0.582000000000008
